rank,course,n_total,n_most,n_neutral,n_least,pct_most,pct_least,nas
1,please_identify_which_macc_elective_courses_were_the_most_and_least_beneficial_to_you_must_drag_and_drop_each_course_into_your_box_of_choice_ranks_did_not_take_acc_6610_finance_statement_research_rank,33,19,8,6,57.57575757575758,18.181818181818183,39.39393939393939
2,please_identify_which_macc_elective_courses_were_the_most_and_least_beneficial_to_you_must_drag_and_drop_each_course_into_your_box_of_choice_ranks_did_not_take_acc_679r_special_topics_rank,53,27,15,11,50.943396226415096,20.754716981132077,30.18867924528302
3,please_identify_which_macc_elective_courses_were_the_most_and_least_beneficial_to_you_must_drag_and_drop_each_course_into_your_box_of_choice_ranks_did_not_take_acc_6440_partnership_tax_rank,39,14,20,5,35.8974358974359,12.82051282051282,23.07692307692308
4,please_identify_which_macc_elective_courses_were_the_most_and_least_beneficial_to_you_must_drag_and_drop_each_course_into_your_box_of_choice_ranks_did_not_take_acc_6250_financial_reporting_and_analysis_rank,38,21,4,13,55.26315789473685,34.21052631578947,21.052631578947377
5,during_the_academic_semesters_of_your_macc_program_how_many_hours_did_you_spend_completing_coursework_outside_of_class_for_the_least_busy_week_hours_per_week,47,22,12,13,46.808510638297875,27.659574468085108,19.148936170212767
6,please_identify_which_macc_elective_courses_were_the_most_and_least_beneficial_to_you_must_drag_and_drop_each_course_into_your_box_of_choice_ranks_did_not_take_acc_6600_business_law_for_accountants_if_taken_as_an_elective_rank,43,19,13,11,44.18604651162791,25.581395348837212,18.604651162790695
7,please_identify_which_macc_elective_courses_were_the_most_and_least_beneficial_to_you_must_drag_and_drop_each_course_into_your_box_of_choice_ranks_did_not_take_acc_6410_tax_research_procedure_rank,42,13,15,14,30.952380952380953,33.33333333333333,-2.380952380952376
8,please_identify_which_macc_elective_courses_were_the_most_and_least_beneficial_to_you_must_drag_and_drop_each_course_into_your_box_of_choice_ranks_did_not_take_acc_6150_info_sys_audit_rank,31,9,9,13,29.03225806451613,41.935483870967744,-12.903225806451612
9,please_identify_which_macc_core_courses_were_the_most_and_least_beneficial_to_you_must_drag_and_drop_each_course_into_your_box_of_choice_ranks_most_beneficial_acc_6600_business_law_for_accountants_rank,13,4,1,8,30.76923076923077,61.53846153846154,-30.76923076923077
10,please_identify_which_macc_core_courses_were_the_most_and_least_beneficial_to_you_must_drag_and_drop_each_course_into_your_box_of_choice_ranks_did_not_take_acc_6510_financial_audit_rank,3,1,0,2,33.33333333333333,66.66666666666666,-33.33333333333333
11,please_identify_which_macc_elective_courses_were_the_most_and_least_beneficial_to_you_must_drag_and_drop_each_course_into_your_box_of_choice_ranks_did_not_take_acc_6030_financial_accounting_reporting_rank,10,3,0,7,30.0,70.0,-40.0
12,please_identify_which_macc_elective_courses_were_the_most_and_least_beneficial_to_you_must_drag_and_drop_each_course_into_your_box_of_choice_ranks_did_not_take_acc_6140_fraud_exam_forensic_acc_rank,34,8,2,24,23.52941176470588,70.58823529411765,-47.05882352941177
13,please_identify_which_macc_core_courses_were_the_most_and_least_beneficial_to_you_must_drag_and_drop_each_course_into_your_box_of_choice_ranks_most_beneficial_acc_6400_advanced_tax_business_entities_rank,32,7,2,23,21.875,71.875,-50.0
14,please_identify_which_macc_core_courses_were_the_most_and_least_beneficial_to_you_must_drag_and_drop_each_course_into_your_box_of_choice_ranks_neutral_acc_6350_managment_control_systems_rank,13,1,1,11,7.6923076923076925,84.61538461538461,-76.92307692307692
